store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Hond,Apotheek,Bolfo,Bolfo Gold Hond 400 - Anti vlooienmiddel - 2 stuks 25 - 40 Kg,"15,29","15,29",0,Senior,https://www.petsplace.nl/bolfo-gold-hond-400-anti-vlooienmiddel-m-4007221007517-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/4012_040026_1.webp
Pets place,Hond,Apotheek,Bolfo,Bolfo Gold Hond 400 - Anti vlooienmiddel - 4 stuks 25 - 40 Kg,"25,49","25,49",0,Senior,https://www.petsplace.nl/bolfo-gold-hond-400-anti-vlooienmiddel-m-4007221007517-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/1/1195_110247_1.webp
Pets place,Hond,Apotheek,Mansonil,Mansonil All Worm Dog Tasty Small/Medium - Anti wormenmiddel - 2 tab Vanaf 2.5 Kg. 1 Tab Per 10 Kg,"11,99","11,99",0,Alle Leeftijden,https://www.petsplace.nl/mansonil-all-worm-dog-tasty-anti-wormenmiddel-m-4007221042143-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/9210_336376_1.webp
Pets place,Hond,Apotheek,Mansonil,Mansonil All Worm Dog Tasty Small/Medium - Anti wormenmiddel - 6 tab Vanaf 2.5 Kg. 1 Tab Per 10 Kg,"19,99","19,99",0,Alle Leeftijden,https://www.petsplace.nl/mansonil-all-worm-dog-tasty-anti-wormenmiddel-m-4007221042143-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/3258_336377_1.webp
Pets place,Hond,Apotheek,Frontline,Frontline Combo Spot On 4 Xlarge Hond Xlarge - Anti vlooien en tekenmiddel - 3 pip,"30,45","30,45",0,Alle Leeftijden,https://www.petsplace.nl/frontline-combo-spot-on-4-xlarge-hond-anti-vlooien-en-tekenmiddel-m-8713942400730-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/1676_040247_1.webp
Pets place,Hond,Apotheek,Frontline,Frontline Combo Spot On 4 Xlarge Hond Xlarge - Anti vlooien en tekenmiddel - 4+2 pip,"37,45","37,45",0,Alle Leeftijden,https://www.petsplace.nl/frontline-combo-spot-on-4-xlarge-hond-anti-vlooien-en-tekenmiddel-m-8713942400730-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/8/2/6183_820643_1.webp
Pets place,Hond,Apotheek,Flea Free,Flea Free Spot-On Combo Hond Small - Anti vlooien en tekenmiddel - 2 pip 2-10kg,"16,19","16,19",0,Alle Leeftijden,https://www.petsplace.nl/flea-free-spot-on-combo-hond-anti-vlooien-en-tekenmiddel-m-8713112004027-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/7831_340195_1.webp
Pets place,Hond,Apotheek,Flea Free,Flea Free Spot-On Combo Hond Small - Anti vlooien en tekenmiddel - 4 pip 2-10 Kg,"26,50","26,50",0,Alle Leeftijden,https://www.petsplace.nl/flea-free-spot-on-combo-hond-anti-vlooien-en-tekenmiddel-m-8713112004027-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/4058_30013051_1.webp
Pets place,Hond,Apotheek,Frontline,Frontline Spot On 4 Xlarge Hond Xlarge - Anti vlooien en tekenmiddel - 4 pip,"31,45","31,45",0,Alle Leeftijden,https://www.petsplace.nl/frontline-spot-on-4-xlarge-hond-anti-vlooien-en-tekenmiddel-m-8713942401676-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/8/2/4673_820625_1.webp
Pets place,Hond,Apotheek,Frontline,Frontline Spot On 4 Xlarge Hond Xlarge - Anti vlooien en tekenmiddel - 6 pip,"49,45","49,45",0,Alle Leeftijden,https://www.petsplace.nl/frontline-spot-on-4-xlarge-hond-anti-vlooien-en-tekenmiddel-m-8713942401676-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/8450_040265_1.webp
Pets place,Hond,Apotheek,Beaphar,Beaphar Omgevingsspray Hond/Kat Vlo En Teek - Anti vlooienmiddel - 250 ml,"12,95","12,95",0,Alle Leeftijden,https://www.petsplace.nl/beaphar-omgevingsspray-hond-kat-vlo-en-teek-anti-vlooienmiddel-m-8711231121915-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/6365_30022697_1.webp
Pets place,Hond,Apotheek,Beaphar,Beaphar Omgevingsspray Hond/Kat Vlo En Teek - Anti vlooienmiddel - 500 ml,"17,95","17,95",0,Alle Leeftijden,https://www.petsplace.nl/beaphar-omgevingsspray-hond-kat-vlo-en-teek-anti-vlooienmiddel-m-8711231121915-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/9731_30022698_1.webp
Pets place,Hond,Apotheek,Beaphar,Beaphar Puppy Lactol - Melkvervanging - 250 g,"11,25","11,25",0,Puppy,https://www.petsplace.nl/beaphar-puppy-lactol-melkvervanging-m-8711231151905-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/7114_343018_1.webp
