store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Kat,Droogvoer,Fokker,Fokker Cat Fresh Fish Zalm - Kattenvoer - 2.5 kg,"22,95","22,95",0,Volwassen,https://www.petsplace.nl/fokker-cat-fresh-fish-kattenvoer-m-8713447046020-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/4794_340577_1.webp
Pets place,Kat,Droogvoer,Fokker,Fokker Cat Fresh Fish Zalm - Kattenvoer - 7 kg,"58,95","58,95",0,Volwassen,https://www.petsplace.nl/fokker-cat-fresh-fish-kattenvoer-m-8713447046020-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/5883_340578_1.webp
Pets place,Kat,Droogvoer,Purina One,Purina One Urinary Care - Kattenvoer - Kip 800 g,"5,99","5,99",0,Volwassen,https://www.petsplace.nl/purina-one-urinary-care-kattenvoer-7613035614765-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/2607_338665_1.webp
Pets place,Kat,Droogvoer,Hill's Prescription Diet,Hill's Prescription Diet M/D Diabetes/Weight Management Zak Kip - Kattenvoer - 1.5 kg,"23,79","23,79",0,Alle Leeftijden,https://www.petsplace.nl/hills-prescription-diet-m-d-diabetes-weight-management-zak-kattenvoer-m-052742868509-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/4196_10022370_1.webp
Pets place,Kat,Droogvoer,Purina One,Purina One Sterilcat - Kattenvoer - Kip Tarwe 6 kg,"29,49","29,49",0,Volwassen,https://www.petsplace.nl/purina-one-sterilcat-kattenvoer-7613035876521-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/1495_10024508_1.webp
Pets place,Kat,Droogvoer,Purina One,Purina One Adult Kip&Granen - Kattenvoer - 800 g,"5,99","5,99",0,Volwassen,https://www.petsplace.nl/purina-one-adult-kattenvoer-m-7613035608405-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/1518_338659_1.webp
Pets place,Kat,Droogvoer,Purina One,Purina One Adult Kip&Granen - Kattenvoer - 1.5 kg,"9,99","9,99",0,Volwassen,https://www.petsplace.nl/purina-one-adult-kattenvoer-m-7613035608405-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/1807_338653_1.webp
Pets place,Kat,Droogvoer,Purina One,Purina One Adult Kip&Granen - Kattenvoer - 3 kg,"18,99","18,99",0,Volwassen,https://www.petsplace.nl/purina-one-adult-kattenvoer-m-7613035608405-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/8892_338657_1.webp
Pets place,Kat,Droogvoer,Purina One,Purina One Adult Kip&Granen - Kattenvoer - 6 kg,"29,49","29,49",0,Volwassen,https://www.petsplace.nl/purina-one-adult-kattenvoer-m-7613035608405-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/9209_10024507_1.webp
Pets place,Kat,Droogvoer,Fokker,Fokker Cat Fresh Meat Kip - Kattenvoer - 2.5 kg,"19,95","19,95",0,Volwassen,https://www.petsplace.nl/fokker-cat-fresh-meat-kattenvoer-m-8713447045023-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/5667_340571_1.webp
Pets place,Kat,Droogvoer,Fokker,Fokker Cat Fresh Meat Kip - Kattenvoer - 7 kg,"51,95","51,95",0,Volwassen,https://www.petsplace.nl/fokker-cat-fresh-meat-kattenvoer-m-8713447045023-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2235_340572_1.webp
Pets place,Kat,Droogvoer,Whiskas,Whiskas Brokjes Senior Kip - Kattenvoer - 950 g,"5,49","5,49",0,Senior,https://www.petsplace.nl/whiskas-brokjes-senior-kattenvoer-m-5900951141294-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/2/1832_120109_1.webp
Pets place,Kat,Droogvoer,Whiskas,Whiskas Brokjes Senior Kip - Kattenvoer - 1.9 kg,"11,99","11,99",0,Senior,https://www.petsplace.nl/whiskas-brokjes-senior-kattenvoer-m-5900951141294-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/2858_336766_1.webp
